MagpieData avg_dev Column,MagpieData minimum MeltingT,MagpieData avg_dev NdValence,MagpieData avg_dev NsValence,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData mean NUnfilled,MagpieData mean SpaceGroupNumber,MagpieData minimum NUnfilled,MagpieData avg_dev GSmagmom,MagpieData avg_dev NdUnfilled,MagpieData avg_dev SpaceGroupNumber,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData mean Number,MagpieData minimum NValence,MagpieData mode NValence,V0
3.3010380622837374,923.0,3.568755606817891,0.0,73.0,55.17320261437911,2.879084967320261,210.73202614379088,0.0,0.2760785588235295,1.0186253150497675,19.023965141612194,1799.0,1540.5663071895426,30.46732026143791,2.0,10.0,348
1.1749318440193814,1071.0,1.3421485414068277,0.3741680555402259,52.0,48.20598006644519,6.3023255813953485,212.27242524916943,5.0,0.0001456346362419,1.3421485414068282,12.262557808412703,2180.0,1834.8372093023256,25.059800664451828,4.0,7.0,278
1.972222222222222,1071.0,1.972222222222223,0.0,61.0,52.75,4.25,218.28333333333333,0.0,0.1918617638888889,1.6216666666666664,10.522777777777778,1768.0,1627.3666666666668,31.616666666666664,2.0,10.0,363
1.1666666666666667,1519.0,1.3333333333333333,0.375,52.0,48.31666666666666,6.25,212.3333333333333,5.0,0.0001457457056193,1.3333333333333333,12.22222222222222,2180.0,1837.3833333333328,24.95,4.0,7.0,298
1.1830621463970878,1071.0,1.3508179465812904,0.3733388886452349,52.0,48.09602649006622,6.35430463576159,212.2119205298013,5.0,0.0001455218395088,1.3508179465812902,12.30209201350818,2180.0,1832.307947019868,25.168874172185426,4.0,7.0,278
3.4,923.0,3.504444444444444,0.0,73.0,54.5,2.9333333333333336,214.66666666666663,0.0,0.2765277606666667,2.077777777777778,13.77777777777778,1799.0,1518.582333333333,28.466666666666665,2.0,10.0,373
1.44,923.0,1.4442,0.0,68.0,62.1,1.07,196.26,0.0,0.107171046,1.3777999999999997,5.747999999999993,1728.0,1035.06,18.25,2.0,2.0,633
2.25,1728.0,2.25,0.0,61.0,49.75,5.750000000000001,209.35,2.0,0.9317460586666666,2.25,16.884999999999998,1941.0,1865.55,24.250000000000004,4.0,4.0,353
2.4099722991689747,923.0,2.6965096952908585,0.0,73.0,53.01052631578947,3.296842105263158,217.76631578947365,0.0,0.2184983098504155,1.914681440443213,11.421606648199466,1799.0,1599.4864210526314,32.147368421052626,2.0,10.0,298
2.068611111111111,933.47,3.0402777777777774,0.0,73.0,54.35,3.5916666666666663,218.28333333333333,2.0,0.273811846875,2.014444444444444,10.522777777777778,1768.0,1541.5170833333332,30.90833333333333,3.0,10.0,443
1.254501478097286,1193.0,1.502821822090836,0.4611663531308788,55.0,48.114754098360656,6.20655737704918,215.7704918032787,4.0,0.6670475041926068,1.502821822090836,14.989518946519748,2180.0,1952.75737704918,24.14754098360656,3.0,6.0,243
1.2213333333333336,1519.0,1.354666666666667,0.3199999999999999,52.0,48.03733333333334,6.216000000000001,211.7333333333333,5.0,0.0001505014632949,1.354666666666667,11.822222222222225,2180.0,1814.528,26.472,3.0,7.0,323
3.4,1193.0,3.4,0.0,61.0,36.69,5.6,206.4,2.0,0.393005,3.4,14.88,1799.0,1470.56,42.22,3.0,3.0,313
2.045138888888889,1193.0,2.045138888888889,0.0,61.0,52.625,3.2916666666666665,219.5,2.0,0.196377097940613,2.045138888888889,8.708333333333334,1728.0,1630.125,32.708333333333336,3.0,10.0,383
2.741617357001972,923.0,2.7416173570019726,0.0,68.0,54.38461538461539,2.1153846153846154,220.23076923076923,0.0,0.2113827337278106,0.8826429980276136,8.071005917159768,1799.0,1582.076923076923,27.57692307692308,2.0,10.0,338
0.18,923.0,0.095,0.0,68.0,63.1,1.5,192.6,0.0,0.0,0.855,2.660000000000005,1345.0,951.5,16.8,2.0,2.0,613
2.202646502835538,1519.0,2.202646502835538,0.0,61.0,48.49565217391304,5.939130434782608,209.17391304347825,2.0,0.773404058494231,2.202646502835538,15.833648393194704,2128.0,1847.034782608696,25.313043478260862,3.0,4.0,343
